Sample,Output_Q31,Output_Float
1079,-2908,-0.0000014
1080,-3444,-0.0000016
1081,-547,-0.0000003
1082,2886,0.0000013
1083,3436,0.0000016
1084,559,0.0000003
1085,-2868,-0.0000013
1086,-3431,-0.0000016
1087,-574,-0.0000003
1088,2847,0.0000013
1089,3423,0.0000016
1090,584,0.0000003
1091,-2831,-0.0000013
1092,-3419,-0.0000016
1093,-598,-0.0000003
1094,2811,0.0000013
1095,3411,0.0000016
1096,608,0.0000003
1097,-2795,-0.0000013
1098,-3407,-0.0000016
1099,-623,-0.0000003
1100,2774,0.0000013
1101,3400,0.0000016
1102,635,0.0000003
1103,-2757,-0.0000013
1104,-3397,-0.0000016
1105,-651,-0.0000003
1106,2736,0.0000013
1107,3390,0.0000016
1108,663,0.0000003
1109,-2719,-0.0000013
1110,-3387,-0.0000016
1111,-679,-0.0000003
1112,2698,0.0000013
1113,3380,0.0000016
1114,691,0.0000003
1115,-2681,-0.0000012
1116,-3377,-0.0000016
1117,-706,-0.0000003
1118,2661,0.0000012
1119,3369,0.0000016
1120,716,0.0000003
1121,-2645,-0.0000012
1122,-3365,-0.0000016
1123,-730,-0.0000003
1124,2624,0.0000012
1125,3356,0.0000016
1126,741,0.0000003
1127,-2607,-0.0000012
1128,-3352,-0.0000016
1129,-755,-0.0000004
1130,2587,0.0000012
1131,3344,0.0000016
1132,765,0.0000004
1133,-2571,-0.0000012
1134,-3340,-0.0000016
1135,-779,-0.0000004
1136,2551,0.0000012
1137,3332,0.0000016
1138,789,0.0000004
1139,-2535,-0.0000012
1140,-3328,-0.0000015
1141,-803,-0.0000004
1142,2515,0.0000012
1143,3320,0.0000015
1144,813,0.0000004
1145,-2499,-0.0000012
1146,-3316,-0.0000015
1147,-827,-0.0000004
1148,2479,0.0000012
1149,3308,0.0000015
1150,836,0.0000004
1151,-2464,-0.0000011
1152,-3303,-0.0000015
1153,-849,-0.0000004
1154,2444,0.0000011
1155,3295,0.0000015
1156,859,0.0000004
1157,-2428,-0.0000011
1158,-3291,-0.0000015
1159,-873,-0.0000004
1160,2408,0.0000011
1161,3283,0.0000015
1162,883,0.0000004
1163,-2392,-0.0000011
1164,-3279,-0.0000015
1165,-897,-0.0000004
1166,2372,0.0000011
1167,3271,0.0000015
1168,907,0.0000004
1169,-2356,-0.0000011
1170,-3267,-0.0000015
1171,-921,-0.0000004
1172,2336,0.0000011
1173,3259,0.0000015
1174,931,0.0000004
